from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022001001551001,9022001001551001,1,,14010000466455851,14010000582865231
9022001001551001,9022001001551001,1,,14010000574348638,14010000582823522
9022001001551001,9022001001551001,1,,14010000594394109,14010000582823474
9022001001551002,9022001001551004,1,,14010000594380200,14010000582816304
9022001001551002,9022001001551004,1,,14010000594380318,14010000582816370
9022001001551002,9022001001551004,1,,14010000594380520,14010000582816568
9022001001551002,9022001001551004,1,,14010000594380598,14010000582816634
9022001001551002,9022001001551004,1,,14010000594380754,14010000582816766
9022001001551002,9022001001551004,1,,14010000594380990,14010000582816928
9022001001551002,9022001001551004,1,,14010000594380070,14010000593699117
9022001001551002,9022001001551004,1,,14010000594380364,14010000582816436
9022001001551002,9022001001551004,1,,14010000594380442,14010000582816502
9022001001551002,9022001001551004,1,,14010000594380676,14010000582816700
9022001001551002,9022001001551004,1,,14010000594380676,14010000585890302
9022001001551002,9022001001551004,1,,14010000594380910,14010000582816901
9022001001551002,9022001001551004,1,,14010000594380156,14010000582816239
9022001001551002,9022001001551004,1,,14010000594380156,14010000593699212
9022001001551002,9022001001551004,1,,14010000594380832,14010000582816832
9022001001551002,9022001001551004,1,,14010000594398549,14010000582811625
9022001001551002,9022001001551004,1,,14010000594427657,14010000594427919
9022001001551002,9022001001551004,1,,14010000594427850,14010000582813295
9022001001551002,9022001001551004,1,,14010000594428037,14010000582813352
9022001001551002,9022001001551004,1,,14010000594428037,14010000593698854
9022001001551002,9022001001551004,1,,14010000594428205,14010000582813376
9022001001551002,9022001001551004,1,,14010000606291778,14010000585891104
9022001001551002,9022001001551004,1,,14010000606302696,14010000585908042
9022001001551002,9022001001551004,1,,14010000606316115,14010000606316587
9022001001551002,9022001001551004,1,,14010000606302338,14010000606302518
9022001001551002,9022001001551004,1,,14010000606302591,14010000585907951
9022001001551002,9022001001551004,1,,14010000606302468,14010000585907787
9022001001551002,9022001001551004,1,,14010000614183246,14010000593699117
9022001001551002,9022001001551004,1,,14010000614183371,14010000582816239
9022001001551002,9022001001551004,1,,14010000614183371,14010000593699212
9022001001551001,9022001001551003,1,,14010000444441990,14010000606327647
9022001001551001,9022001001551001,1,,14010000458467891,14010000606327407
